Type,Prefecture,Municipality,DistrictName,TradePrice,Area,FloorPlan,BuildingYear,Structure,CityPlanning,Period
中古マンション等,東京都,千代田区,神田駿河台,15000000,15,１Ｋ,1977年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,千代田区,内神田,27000000,20,１Ｋ,2007年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,千代田区,神田駿河台,15000000,15,１Ｋ,1977年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,千代田区,神田錦町,33000000,20,１Ｋ,2003年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,千代田区,九段南,27000000,20,１Ｋ,2003年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,千代田区,西神田,33000000,20,１Ｋ,2001年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,千代田区,東神田,27000000,20,１Ｋ,2004年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,千代田区,東神田,35000000,35,１Ｋ,2007年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,千代田区,内神田,26000000,30,１Ｒ,1979年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,千代田区,九段南,48000000,35,１Ｒ,2000年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,千代田区,神田和泉町,28000000,20,１Ｋ,2005年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,千代田区,神田小川町,16000000,15,１Ｋ,1982年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,千代田区,神田猿楽町,36000000,25,１Ｋ,2009年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,千代田区,神田須田町,30000000,25,１Ｋ,2016年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,千代田区,外神田,33000000,30,１Ｋ,2014年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,千代田区,外神田,21000000,20,１Ｋ,2000年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,千代田区,神田小川町,17000000,20,１Ｒ,1982年,ＳＲＣ,,2024年第1四半期
中古マンション等,東京都,千代田区,神田小川町,12000000,20,１Ｒ,1980年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,千代田区,神田小川町,16000000,20,１Ｒ,1982年,ＳＲＣ,,2024年第1四半期
中古マンション等,東京都,千代田区,外神田,36000000,35,１Ｋ,1999年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,千代田区,外神田,21000000,25,１Ｋ,2000年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,千代田区,外神田,24000000,20,１Ｋ,,,,2024年第1四半期
中古マンション等,東京都,千代田区,外神田,33000000,30,１Ｋ,1999年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,勝どき,37000000,30,１Ｋ,2016年,ＲＣ,第１種住居地域,2024年第1四半期
中古マンション等,東京都,中央区,勝どき,61000000,30,１Ｋ,2023年,ＲＣ,第２種住居地域,2024年第1四半期
中古マンション等,東京都,中央区,勝どき,46000000,25,１Ｋ,2023年,ＲＣ,第２種住居地域,2024年第1四半期
中古マンション等,東京都,中央区,日本橋茅場町,27000000,25,１Ｋ,2000年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,日本橋堀留町,29000000,20,１Ｋ,2002年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,日本橋堀留町,24000000,25,１Ｋ,2002年,ＳＲＣ,,2024年第1四半期
中古マンション等,東京都,中央区,日本橋堀留町,31000000,30,１Ｋ,1999年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,晴海,85000000,45,１Ｒ,2015年,ＲＣ,準工業地域,2024年第1四半期
中古マンション等,東京都,中央区,晴海,71000000,50,１Ｒ,2015年,ＲＣ,準工業地域,2024年第1四半期
中古マンション等,東京都,中央区,日本橋蛎殻町,26000000,25,１Ｋ,2001年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,日本橋蛎殻町,22000000,25,１Ｋ,1998年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,日本橋茅場町,30000000,20,１Ｋ,2008年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,日本橋馬喰町,14000000,20,１Ｋ,1983年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,日本橋馬喰町,29000000,20,１Ｋ,2003年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,日本橋堀留町,28000000,20,１Ｋ,2004年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,日本橋堀留町,30000000,25,１Ｋ,2007年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,晴海,79000000,50,１Ｒ,2015年,ＲＣ,準工業地域,2024年第1四半期
中古マンション等,東京都,中央区,晴海,70000000,45,１Ｒ,2015年,ＲＣ,準工業地域,2024年第1四半期
中古マンション等,東京都,中央区,晴海,63000000,45,１Ｒ,2015年,ＲＣ,準工業地域,2024年第1四半期
中古マンション等,東京都,中央区,日本橋人形町,60000000,45,１Ｋ,2007年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,勝どき,46000000,25,１Ｋ,2023年,ＲＣ,第２種住居地域,2024年第1四半期
中古マンション等,東京都,中央区,勝どき,22000000,20,１Ｋ,2003年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,勝どき,75000000,50,１Ｋ,2016年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,日本橋箱崎町,24000000,20,１Ｋ,2002年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,日本橋箱崎町,14000000,20,１Ｋ,2004年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,日本橋箱崎町,27000000,20,１Ｋ,2004年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,勝どき,55000000,25,１Ｋ,2023年,ＲＣ,第２種住居地域,2024年第1四半期
中古マンション等,東京都,中央区,勝どき,55000000,25,１Ｋ,2023年,ＲＣ,第２種住居地域,2024年第1四半期
中古マンション等,東京都,中央区,銀座,40000000,20,１Ｋ,2016年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,銀座,35000000,20,１Ｋ,2004年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,銀座,34000000,20,１Ｋ,2002年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,日本橋大伝馬町,23000000,20,１Ｋ,2003年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,東日本橋,38000000,25,１Ｋ,2015年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,東日本橋,27000000,20,１Ｋ,2004年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,東日本橋,22000000,20,１Ｋ,2006年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,東日本橋,42000000,25,１Ｋ,2015年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,東日本橋,24000000,20,１Ｋ,2005年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,明石町,33000000,30,１Ｋ,2004年,ＲＣ,第２種住居地域,2024年第1四半期
中古マンション等,東京都,中央区,入船,32000000,25,１Ｋ,2003年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,銀座,33000000,25,１Ｋ,2005年,ＲＣ,,2024年第1四半期
中古マンション等,東京都,中央区,日本橋富沢町,33000000,30,１Ｒ,1999年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,日本橋富沢町,47000000,45,１Ｒ,,,,2024年第1四半期
中古マンション等,東京都,中央区,東日本橋,26000000,30,１Ｒ,2003年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,東日本橋,36000000,30,１Ｋ,2021年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,東日本橋,20000000,25,１Ｋ,2003年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,日本橋浜町,23000000,20,１Ｋ,2006年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,京橋,33000000,20,１Ｋ,2004年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,新川,15000000,20,１Ｋ,1977年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,新川,34000000,25,１Ｋ,2011年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,新川,25000000,20,１Ｋ,2005年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,新川,29000000,25,１Ｋ,2012年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,築地,29000000,20,１Ｋ,2007年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,築地,23000000,20,１Ｋ,2002年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,築地,28000000,25,１Ｒ,1979年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,築地,19000000,15,１Ｋ,1979年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,月島,26000000,20,１Ｋ,2003年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,佃,46000000,35,１Ｋ,2004年,ＲＣ,第２種住居地域,2024年第1四半期
中古マンション等,東京都,中央区,日本橋小網町,31000000,25,１Ｋ,2015年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,日本橋浜町,30000000,20,１Ｋ,2004年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,日本橋浜町,30000000,25,１Ｋ,2010年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,日本橋浜町,28000000,20,１Ｋ,2004年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,日本橋浜町,23000000,25,１Ｋ,1998年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,日本橋浜町,35000000,25,１Ｋ,2014年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,日本橋浜町,34000000,25,１Ｋ,2014年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,日本橋浜町,28000000,25,１Ｋ,1998年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,日本橋浜町,34000000,25,１Ｋ,2015年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,築地,20000000,30,１Ｒ,1980年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,月島,33000000,25,１Ｋ,2011年,ＲＣ,,2024年第1四半期
中古マンション等,東京都,中央区,新川,40000000,45,１Ｒ,2004年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,新川,36000000,30,１Ｋ,2000年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,築地,22000000,25,１Ｒ,2004年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,築地,18000000,30,１Ｋ,1974年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,築地,17000000,20,１Ｒ,1982年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,日本橋浜町,48000000,45,１Ｋ＋Ｓ,2005年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,日本橋浜町,64000000,45,１Ｒ,2005年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,中央区,八丁堀,23000000,20,１Ｒ,2006年,ＳＲＣ,,2024年第1四半期
中古マンション等,東京都,港区,元麻布,55000000,45,１Ｒ,1980年,ＲＣ,第１種中高層住居専用地域,2024年第1四半期
中古マンション等,東京都,港区,新橋,15000000,20,１Ｒ,1977年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,浜松町,14000000,20,１Ｒ,1976年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,東麻布,66000000,35,１Ｋ,2017年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,東麻布,67000000,35,１Ｋ,2017年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,麻布台,29000000,20,１Ｋ,1979年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,海岸,28000000,20,１Ｋ,2006年,ＲＣ,準工業地域,2024年第1四半期
中古マンション等,東京都,港区,白金,45000000,25,１Ｋ,2023年,ＲＣ,準工業地域,2024年第1四半期
中古マンション等,東京都,港区,白金,22000000,20,１Ｋ,2003年,ＲＣ,準工業地域,2024年第1四半期
中古マンション等,東京都,港区,新橋,43000000,25,１Ｋ,2019年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,高輪,110000000,45,１Ｋ,2022年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,高輪,44000000,25,１Ｒ,2017年,ＲＣ,第１種中高層住居専用地域,2024年第1四半期
中古マンション等,東京都,港区,高輪,30000000,20,１Ｋ,2003年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,高輪,27000000,20,１Ｋ,2003年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,虎ノ門,34000000,25,１Ｋ,2013年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,浜松町,24000000,20,１Ｋ,2002年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,浜松町,28000000,20,１Ｋ,2004年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,浜松町,41000000,25,１Ｋ,2014年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,東麻布,34000000,20,１Ｋ,2005年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,東麻布,30000000,20,１Ｋ,2000年,ＲＣ,第１種住居地域,2024年第1四半期
中古マンション等,東京都,港区,南青山,21000000,15,１Ｋ,1980年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,南青山,27000000,25,１Ｋ,1980年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,南青山,31000000,25,１Ｋ,1980年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,南麻布,31000000,20,１Ｋ,2003年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,南麻布,24000000,20,１Ｋ,2001年,ＳＲＣ,準工業地域,2024年第1四半期
中古マンション等,東京都,港区,六本木,14000000,20,１Ｋ,1972年,ＳＲＣ,第１種住居地域,2024年第1四半期
中古マンション等,東京都,港区,六本木,35000000,20,１Ｋ,1999年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,六本木,39000000,20,１Ｋ,2005年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,六本木,40000000,25,１Ｋ,1980年,ＲＣ,第２種住居地域,2024年第1四半期
中古マンション等,東京都,港区,六本木,36000000,20,１Ｒ,1980年,ＲＣ,第２種住居地域,2024年第1四半期
中古マンション等,東京都,港区,海岸,54000000,25,１Ｋ,2023年,ＲＣ,準工業地域,2024年第1四半期
中古マンション等,東京都,港区,海岸,46000000,25,１Ｋ,2023年,ＲＣ,準工業地域,2024年第1四半期
中古マンション等,東京都,港区,海岸,48000000,25,１Ｋ,2023年,ＲＣ,準工業地域,2024年第1四半期
中古マンション等,東京都,港区,白金,57000000,25,１Ｒ,2023年,ＲＣ,,2024年第1四半期
中古マンション等,東京都,港区,白金,26000000,35,１Ｒ,1983年,ＲＣ,,2024年第1四半期
中古マンション等,東京都,港区,白金,29000000,35,１Ｋ,1983年,ＲＣ,,2024年第1四半期
中古マンション等,東京都,港区,高輪,34000000,45,１Ｒ,1973年,ＳＲＣ,第１種中高層住居専用地域,2024年第1四半期
中古マンション等,東京都,港区,高輪,28000000,30,１Ｒ,1981年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,高輪,30000000,25,１Ｋ,2003年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,高輪,30000000,40,１Ｋ,1982年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,高輪,16000000,25,１Ｒ,1973年,ＳＲＣ,第１種住居地域,2024年第1四半期
中古マンション等,東京都,港区,高輪,110000000,45,１Ｒ,2022年,ＳＲＣ,,2024年第1四半期
中古マンション等,東京都,港区,高輪,47000000,40,１Ｒ,2001年,ＲＣ,第１種住居地域,2024年第1四半期
中古マンション等,東京都,港区,東麻布,31000000,25,１Ｋ,2005年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,東麻布,44000000,30,１Ｋ,2017年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,東麻布,23000000,20,１Ｋ,2000年,ＲＣ,,2024年第1四半期
中古マンション等,東京都,港区,東麻布,60000000,35,１Ｋ,2017年,ＲＣ,,2024年第1四半期
中古マンション等,東京都,港区,南青山,65000000,55,１Ｒ,1977年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,南青山,52000000,40,１Ｒ,2001年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,南青山,21000000,20,１Ｒ,1980年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,南麻布,18000000,25,１Ｋ,1979年,ＲＣ,,2024年第1四半期
中古マンション等,東京都,港区,六本木,24000000,25,１Ｒ,1979年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,六本木,21000000,25,１Ｋ,1979年,ＲＣ,第２種中高層住居専用地域,2024年第1四半期
中古マンション等,東京都,港区,六本木,28000000,25,１Ｒ,1979年,ＲＣ,,2024年第1四半期
中古マンション等,東京都,港区,芝,25000000,20,１Ｋ,2002年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,北青山,23000000,15,１Ｋ,1978年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,北青山,21000000,15,１Ｋ,1978年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,芝,25000000,15,１Ｋ,1997年,ＳＲＣ,近隣商業地域,2024年第1四半期
中古マンション等,東京都,港区,芝,29000000,20,１Ｋ,2002年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,芝,31000000,25,１Ｋ,2001年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,芝,34000000,20,１Ｋ,2002年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,芝,25000000,15,１Ｋ,2003年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,芝,20000000,25,１Ｋ,1980年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,白金台,12000000,20,１Ｋ,2005年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,西新橋,48000000,25,１Ｋ,2017年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,西新橋,33000000,20,１Ｋ,2014年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,三田,73000000,35,１Ｋ,2023年,ＲＣ,第１種住居地域,2024年第1四半期
中古マンション等,東京都,港区,北青山,37000000,30,１Ｋ,1978年,ＳＲＣ,,2024年第1四半期
中古マンション等,東京都,港区,芝,24000000,20,１Ｋ,1997年,ＲＣ,近隣商業地域,2024年第1四半期
中古マンション等,東京都,港区,芝,25000000,20,１Ｋ,2003年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,白金台,26000000,20,１Ｋ,2005年,ＲＣ,準工業地域,2024年第1四半期
中古マンション等,東京都,港区,西新橋,68000000,35,１Ｒ,2019年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,三田,25000000,30,１Ｒ,1985年,ＲＣ,,2024年第1四半期
中古マンション等,東京都,港区,三田,19000000,25,１Ｒ,1979年,ＲＣ,第１種中高層住居専用地域,2024年第1四半期
中古マンション等,東京都,港区,三田,17000000,20,１Ｒ,1978年,ＳＲＣ,,2024年第1四半期
中古マンション等,東京都,港区,三田,30000000,25,１Ｋ,1999年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,赤坂,14000000,15,１Ｋ,1985年,ＳＲＣ,近隣商業地域,2024年第1四半期
中古マンション等,東京都,港区,赤坂,27000000,15,１Ｋ,1978年,ＲＣ,第１種中高層住居専用地域,2024年第1四半期
中古マンション等,東京都,港区,麻布十番,74000000,40,１Ｋ,2007年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,麻布十番,45000000,25,１Ｋ,2014年,ＲＣ,近隣商業地域,2024年第1四半期
中古マンション等,東京都,港区,麻布十番,36000000,20,１Ｋ,2008年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,麻布十番,28000000,20,１Ｋ,2001年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,麻布十番,28000000,20,１Ｋ,2001年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,麻布十番,46000000,45,１Ｋ,1959年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,麻布十番,37000000,20,１Ｋ,2000年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,芝浦,26000000,20,１Ｋ,2006年,ＲＣ,準工業地域,2024年第1四半期
中古マンション等,東京都,港区,芝浦,28000000,20,１Ｋ,2002年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,芝浦,33000000,20,１Ｋ,2014年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,芝浦,32000000,20,１Ｋ,2014年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,芝浦,27000000,20,１Ｋ,2006年,ＲＣ,準工業地域,2024年第1四半期
中古マンション等,東京都,港区,芝大門,37000000,25,１Ｋ,2014年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,西麻布,35000000,20,１Ｋ,2003年,ＳＲＣ,近隣商業地域,2024年第1四半期
中古マンション等,東京都,港区,西麻布,36000000,20,１Ｋ,2003年,ＳＲＣ,近隣商業地域,2024年第1四半期
中古マンション等,東京都,港区,西麻布,29000000,20,１Ｋ,2003年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,赤坂,56000000,30,１Ｋ,2019年,ＲＣ,,2024年第1四半期
中古マンション等,東京都,港区,赤坂,48000000,40,１Ｋ,1998年,ＳＲＣ,第１種中高層住居専用地域,2024年第1四半期
中古マンション等,東京都,港区,赤坂,20000000,25,１Ｒ,1971年,ＳＲＣ,,2024年第1四半期
中古マンション等,東京都,港区,赤坂,60000000,45,１Ｒ,1997年,ＳＲＣ,第２種住居地域,2024年第1四半期
中古マンション等,東京都,港区,赤坂,56000000,30,１Ｋ,2019年,ＲＣ,第２種住居地域,2024年第1四半期
中古マンション等,東京都,港区,赤坂,34000000,25,１Ｋ,2003年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,赤坂,33000000,25,１Ｋ,2001年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,赤坂,55000000,45,１Ｒ,1978年,ＲＣ,第２種中高層住居専用地域,2024年第1四半期
中古マンション等,東京都,港区,赤坂,29000000,25,１Ｋ,2003年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,赤坂,16000000,20,１Ｒ,1971年,ＳＲＣ,第２種中高層住居専用地域,2024年第1四半期
中古マンション等,東京都,港区,赤坂,30000000,30,１Ｋ,1983年,ＳＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,赤坂,17000000,20,１Ｒ,1979年,ＲＣ,第２種住居地域,2024年第1四半期
中古マンション等,東京都,港区,赤坂,18000000,25,１Ｒ,1983年,ＲＣ,商業地域,2024年第1四半期
中古マンション等,東京都,港区,赤坂,12000000,15,１Ｒ,1971年,ＳＲＣ,第２種中高層住居専用地域,2024年第1四半期
中古マンション等,東京都,港区,赤坂,23000000,25,１Ｒ,1981年,ＳＲＣ,,2024年第1四半期
中古マンション等,東京都,港区,赤坂,30000000,30,１Ｒ,1983年,ＳＲＣ,近隣商業地域,2024年第1四半期
中古マンション等,東京都,港区,赤坂,29000000,25,１Ｒ,1983年,ＳＲＣ,商業地域,2024年第1四半期
